panel,property_id,composition_label,x_cr,carrier,ordinal,temperature_raw_k,temperature_nominal_k,display_value_raw,display_unit,si_value_raw,si_unit,source_marker_drawing_index,source_marker_sha256,data_role,independent_device_validation_eligible
C,electrical_conductivity,x=0.003,0.0030000000000000001,p-type,4,422.99600840391713,423,2.8950404741871836,10^2 S cm^-1,28950.404741871836,S m^-1,104,48af7dfb17e0b8929ba29ed6da079ab8a169014439da117d2bd5d00df22ed864,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.003,0.0030000000000000001,p-type,5,472.99667314755811,473,1.801147383897387,10^2 S cm^-1,18011.47383897387,S m^-1,105,a208ddc5aa7703841c36634fcc6181596ba9583cf5d7a2457cdc2daf8b17858e,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.003,0.0030000000000000001,p-type,6,522.99729692086692,523,1.3099023302718251,10^2 S cm^-1,13099.023302718251,S m^-1,106,c160ac022035047b0bbc10b8175100a198f7cd94d1338efd1a00167fd7774670,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.003,0.0030000000000000001,p-type,7,572.99802312000622,573,0.83927873882235815,10^2 S cm^-1,8392.7873882235817,S m^-1,107,b8c7f84be7239e1c7c7fb1ed7aa06853900ebca88c06e1b54e5e41f0ab2f4d2a,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.005,0.0050000000000000001,n-type,1,299.97455537510507,300,9.7860018955603181,10^2 S cm^-1,97860.018955603184,S m^-1,109,6d1c2b183435f4d5085c94889438afc0f46629474474ac7fad6ea81bec6a53a2,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.005,0.0050000000000000001,n-type,2,322.99603093760209,323,8.6301405497252262,10^2 S cm^-1,86301.405497252257,S m^-1,110,44ed1cccdb5b2d554b184163c03fe28c7f7441ce9387b2bd75f57966f5fa90d6,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.005,0.0050000000000000001,n-type,3,372.99530268994374,373,6.1203442590268509,10^2 S cm^-1,61203.442590268511,S m^-1,111,603f946a530d27c4ac51206fc3e258ba77ea2ee9f5843054b41d5ea99b42b2c2,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.005,0.0050000000000000001,n-type,4,422.99598791875087,423,4.6714222522125226,10^2 S cm^-1,46714.222522125223,S m^-1,112,de8d10b56bca4a1621dee4782810a9c62e8073be7ce00d3ccd0b81d03d1a0244,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.005,0.0050000000000000001,n-type,5,472.99661169205956,473,3.2597499830966115,10^2 S cm^-1,32597.499830966113,S m^-1,113,56e048e5d883d0c0d830703863d27854514afe12f63802e913b5cabf80ba1f26,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.005,0.0050000000000000001,n-type,6,522.99725595053462,523,2.5826624842453185,10^2 S cm^-1,25826.624842453184,S m^-1,114,dff94083df91e067462595eb1c46a09776c10eba92752da7f498cefc9460d34f,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.005,0.0050000000000000001,n-type,7,572.99790020900934,573,1.9221386313057991,10^2 S cm^-1,19221.386313057992,S m^-1,115,3623665fad4730b87bcd3a2e26fa1c22257d5122f1bf616dc52d6b8baaf17d0a,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.007,0.0070000000000000001,n-type,1,300.00007989215146,300,7.9752140827020952,10^2 S cm^-1,79752.14082702095,S m^-1,118,8731d20e2c85fb828444b53967a3d169d158258885bcfeeb8e71a34c472e1165,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.007,0.0070000000000000001,n-type,2,323.01946596769926,323,6.7905637076537317,10^2 S cm^-1,67905.637076537314,S m^-1,120,88441f7c97ac16f56cc1a81c139054fd91dc2b69d4eb7ac47793443856523dc2,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.007,0.0070000000000000001,n-type,3,373.01947518602287,373,4.6604836906216747,10^2 S cm^-1,46604.836906216748,S m^-1,122,2b6560954f4f26a81fea0eb6571466711008a53b2aa3194d75c4928b3bdebcf4,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.007,0.0070000000000000001,n-type,4,423.02151243579726,423,3.3683600436780097,10^2 S cm^-1,33683.6004367801,S m^-1,124,09fda523a4ee2fbe430db826f0ed76ac1f0b15d924c7293e5e824e78879f6790,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.007,0.0070000000000000001,n-type,5,473.01949362267021,473,2.4931874047966573,10^2 S cm^-1,24931.874047966572,S m^-1,126,f256f4319a72f872a7f1ef78b380bb92b80fc092cd977ae5003eb7e7388707ff,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.007,0.0070000000000000001,n-type,6,523.02146941694616,523,1.9111885287130832,10^2 S cm^-1,19111.885287130834,S m^-1,128,a99ecff0ea4b48034d816382a4323eaa3cddf5bd73d5a30dd22268d545373e26,primary_article_figure_derived_source_object_candidate,false
C,electrical_conductivity,x=0.007,0.0070000000000000001,n-type,7,573.02350666672044,573,1.4942375206507705,10^2 S cm^-1,14942.375206507706,S m^-1,130,a88b954d47f1143baacfaf49082aa00c2b8b677e9464a7f79e4b773acc3c7e05,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0,0,p-type,1,299.98672578450032,300,167.71026526105106,microV K^-1,0.00016771026526105106,V K^-1,151,886d3caa0ced9c02a1a8da8ef15f885018e2eac95b197f83e9f803141050b262,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0,0,p-type,2,323.01192285232139,323,178.23549132317748,microV K^-1,0.00017823549132317749,V K^-1,152,8a80eb940d653509d69b9afa3e8ae6a7c3d05dcf6081741735eb7b68a8e1522e,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0,0,p-type,3,373.01937423822363,373,195.57136137966154,microV K^-1,0.00019557136137966154,V K^-1,153,72c41d99fdb1af68565bafd686c64d1afba1d7ecd9b6d77e24f2f0ad73d6cce0,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0,0,p-type,4,423.02481298042176,423,211.87509541992495,microV K^-1,0.00021187509541992493,V K^-1,154,09d3544c80a7959de51bcdbccb952db51f4b48f4b841d041097aab2505dd1a3e,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0,0,p-type,5,473.032264366324,473,236.84918734292933,microV K^-1,0.00023684918734292931,V K^-1,155,89c8af5c8b8156ca059dcf21195f12d60238850c31a3f7081a34770e5827e002,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0,0,p-type,6,523.0417437596227,523,274.41312348257179,microV K^-1,0.00027441312348257176,V K^-1,156,80cff5a3dcbfb1febe1ef66fb702ec093a7b9ad4715b441efa6adbab9b04ca6c,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0,0,p-type,7,573.04917978183266,573,300.20406349353016,microV K^-1,0.00030020406349353014,V K^-1,157,de25c11bb8653ce09519da6754eec40635db5b1c849d0f9a6f7d791488117f2c,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.001,0.001,p-type,1,300.00119838273901,300,199.64487203522913,microV K^-1,0.00019964487203522912,V K^-1,159,039a5a0d950bc090b98b7326a6347a7b3aab18c223457a47cb4f4fba85521135,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.001,0.001,p-type,2,323.02120252252962,323,212.23471625186812,microV K^-1,0.00021223471625186812,V K^-1,160,e07a1028fcf954d253afe81485d5cd0b095d550afaaa50b86a92a55383c0c849,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.001,0.001,p-type,3,373.0213868819277,373,239.47140815409239,microV K^-1,0.00023947140815409236,V K^-1,161,0be8ea1367d63c09e00b6cafeef256e890028a0ec68d5ec79b3e414dd55bb6b4,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.001,0.001,p-type,4,423.02120251270833,423,263.81659627378576,microV K^-1,0.00026381659627378577,V K^-1,162,e4d19f52b4b77e6293abfb29eb01eade24939d33fb113ae860edd5a2337a2766,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.001,0.001,p-type,5,473.02098741610411,473,287.95688012734718,microV K^-1,0.00028795688012734716,V K^-1,163,0d123bd167830c11081485faa151b803b135bde4799144d748fedb988005c148,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.001,0.001,p-type,6,523.0211564118099,523,306.32523232212407,microV K^-1,0.00030632523232212403,V K^-1,164,76546381e6a8d9bc02f530603a55d86e57fc639231418938540234a517c3fc8f,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.001,0.001,p-type,7,573.01977367458335,573,324.27477681078744,microV K^-1,0.00032427477681078745,V K^-1,165,ff820a42b91f485633a0f09dce0f278c8e7859a7be9ed28867132d701ddc7eac,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.003,0.0030000000000000001,p-type,1,299.97624262505434,300,197.24093887694926,microV K^-1,0.00019724093887694925,V K^-1,167,3bb665be8389100b45d959efe29fbb8121a9a3cc5939f339253d65583704ab0f,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.003,0.0030000000000000001,p-type,2,322.99701494946481,323,211.68230542628498,microV K^-1,0.00021168230542628497,V K^-1,168,85482e73e8901d1a714d5dc5d5f595aa678488af23fc56dce90238827f4b2e63,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.003,0.0030000000000000001,p-type,3,372.99640039685829,373,243.46184951257965,microV K^-1,0.00024346184951257963,V K^-1,169,8d934f0202ec164f5234059bd666402131e55b3a2e99fed869397f57f08d5d83,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.003,0.0030000000000000001,p-type,4,422.99621602763887,423,271.10961906132798,microV K^-1,0.00027110961906132798,V K^-1,170,3873878e432e1d4538a885f276a91b68e49a356d6e2c555c12d06daac996812b,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.003,0.0030000000000000001,p-type,5,472.99600093103464,473,298.75277364912563,microV K^-1,0.00029875277364912561,V K^-1,171,eba1d794118303476cd52e2ef83706c23efb4134979f1680d6464d7a5e5951a3,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.003,0.0030000000000000001,p-type,6,522.99623650274066,523,316.70681772471471,microV K^-1,0.0003167068177247147,V K^-1,172,e8b1a36404250d8ddd3c7a6756fe507622d7774e06aa3991e256658d68580d68,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.003,0.0030000000000000001,p-type,7,572.99626722521498,573,334.24989952780561,microV K^-1,0.0003342498995278056,V K^-1,173,7e5ab86345879af38d458bea87d44f65e3f15a70930c09b355fbaf08ff89d342,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.005,0.0050000000000000001,n-type,1,299.97690838505821,300,-195.75759812875458,microV K^-1,-0.00019575759812875458,V K^-1,175,775f3f3797f39de7c70e273cd0dc6157f562e8914886e479f39734904ee35256,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.005,0.0050000000000000001,n-type,2,322.99688179746403,323,-205.25103429673072,microV K^-1,-0.0002052510342967307,V K^-1,176,2079522647d09ed684407026e1d1b4f072e29d1d8392d93ac5914baad04c1347,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.005,0.0050000000000000001,n-type,3,372.99709688424696,373,-225.47287018260795,microV K^-1,-0.00022547287018260794,V K^-1,177,ddf63b8759b0d869b64d41231b370321fabc553a5b15e5373c3664af1e9edc68,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.005,0.0050000000000000001,n-type,4,422.99554002517334,423,-245.69539831262682,microV K^-1,-0.00024569539831262679,V K^-1,178,725e9496b8f3dfb0a49740f0e2eee98e1afe33125ec6c8464be164a7385a7fc5,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.005,0.0050000000000000001,n-type,5,472.99575511195627,473,-265.70125402609574,microV K^-1,-0.00026570125402609575,V K^-1,179,60b28f2a2555b7d458f157c67316b9b125f4818c61900de976c8f64d58aa7b50,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.005,0.0050000000000000001,n-type,6,522.99652329166543,523,-282.62316208546417,microV K^-1,-0.00028262316208546416,V K^-1,180,9e2cb45f8f0570ccb01917bf7d966c83ca428fd2ecd03c39e1eb6511f0a8070d,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.005,0.0050000000000000001,n-type,7,572.99630819506115,573,-299.34224261112831,microV K^-1,-0.00029934224261112831,V K^-1,181,42186d7d9028e80789f4fd882033ff7e1b62d338a3d2e5877560e284c2405fe1,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.007,0.0070000000000000001,n-type,1,300.00041483442669,300,-200.84709243722136,microV K^-1,-0.00020084709243722135,V K^-1,184,b2bbbc6d111cb18cfc9d47f9071b5674d26c61ae3149e1e999da02b09c216c58,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.007,0.0070000000000000001,n-type,2,323.02038824683251,323,-217.770384984874,microV K^-1,-0.000217770384984874,V K^-1,186,00f880db79a3f5e2f38e18ece31c025a0e7390ffc1dbe410a204ac1f48281a9a,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.007,0.0070000000000000001,n-type,3,373.0210027896178,373,-237.36850889850757,microV K^-1,-0.00023736850889850757,V K^-1,188,59918767f3849febbe5359240840f8e84228879c4c6413e0a4dfd3fa6dc8199f,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.007,0.0070000000000000001,n-type,4,423.02078769301357,423,-261.30388848593884,microV K^-1,-0.00026130388848593885,V K^-1,190,e6edd4ea72791c687ebf921c1b0f173aa832f2f714e2a556e2d4e356c820fb7b,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.007,0.0070000000000000001,n-type,5,473.02057259640935,473,-287.50982886022757,microV K^-1,-0.00028750982886022755,V K^-1,192,600bd9b275a3b5cc1c01984e9e55f24e9097e31f71c94b08333009f1940f01f6,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.007,0.0070000000000000001,n-type,6,523.02038822718987,523,-303.39371682816454,microV K^-1,-0.00030339371682816454,V K^-1,194,d667fbf6e67d1f3df8e887d352bd3b00e0372248c7d54fe08ef6f8ace6136ef6,primary_article_figure_derived_source_object_candidate,false
D,seebeck_coefficient,x=0.007,0.0070000000000000001,n-type,7,573.01974294719867,573,-318.87575707147698,microV K^-1,-0.00031887575707147695,V K^-1,196,1bee1488ea932d58ef8687e3d1dd23681965f5b1c9f004f8b0784e4eb3565810,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0,0,p-type,1,299.98310588034815,300,41.752332079163523,microW cm^-1 K^-2,0.0041752332079163521,W m^-1 K^-2,217,003b3b0af151a106e613d46bc6283adb19f30e8ea12658f63b5bb9a589bb02b7,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0,0,p-type,2,323.00658299130464,323,40.010270803371327,microW cm^-1 K^-2,0.0040010270803371327,W m^-1 K^-2,218,be968d7c38fc8e8476f6c3d26b28d2ba8b4015514e0f27355e65b58ba4b4ab34,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0,0,p-type,3,373.01462137199053,373,31.394977804894665,microW cm^-1 K^-2,0.0031394977804894667,W m^-1 K^-2,219,99ab81a8aebedd46c68c1c651a588bb2b3f526d34479c2e2e8b22070ed84f1da,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0,0,p-type,4,423.02471851225596,423,26.657570537627123,microW cm^-1 K^-2,0.0026657570537627125,W m^-1 K^-2,220,f1fcb78691c8a7515ffc2082730fce0b7e6c076916dd7cfdd06bab6971c6c1ca,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0,0,p-type,5,473.03075958887212,473,21.072715580560725,microW cm^-1 K^-2,0.0021072715580560727,W m^-1 K^-2,221,ae609e1fc1d8668c0b518c1ae21e0828959605c880cf54915d70dbd054910cba,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0,0,p-type,6,523.04079527362762,523,19.725624869019327,microW cm^-1 K^-2,0.001972562486901933,W m^-1 K^-2,222,424f54494a88422182e4380087fe43da52786b855ff8d41e3ae1e61484ba07be,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0,0,p-type,7,573.04892583757839,573,14.593850729813994,microW cm^-1 K^-2,0.0014593850729813995,W m^-1 K^-2,223,577d299e968ed75ed4a8778151b3ede5f8532419313a21b8afc03b3bafa800cf,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.001,0.001,p-type,1,299.99800884148351,300,34.039228031510675,microW cm^-1 K^-2,0.0034039228031510676,W m^-1 K^-2,225,83dfdd7a056f4d9f0b582fe8580c9da88dcd655d8aecb2b37b2ac7775d92071a,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.001,0.001,p-type,2,323.01942719286046,323,31.485414808167548,microW cm^-1 K^-2,0.0031485414808167548,W m^-1 K^-2,226,285e7c22d782397d367ad092101f3c74e2f65107c63ba67ecebb6efb0e7f9019,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.001,0.001,p-type,3,373.01947635726754,373,25.84344276871542,microW cm^-1 K^-2,0.0025843442768715419,W m^-1 K^-2,227,b5f2008e3a85299c8f478df3824bb537538abd7de033c1a845b367b985a9e758,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.001,0.001,p-type,4,423.01946406616491,423,20.561057134395412,microW cm^-1 K^-2,0.0020561057134395413,W m^-1 K^-2,228,f90599f7cb11e1d7ae1135c2e2ded6aa5ea16b0365e45086a136b6c037151a98,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.001,0.001,p-type,5,473.0214490791318,473,16.649072524475912,microW cm^-1 K^-2,0.0016649072524475912,W m^-1 K^-2,229,a9b05f8e40c83c31f6d32f7ad90e3d3410ff085b62df3729ada881f9f2f94624,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.001,0.001,p-type,6,523.02149824353899,523,12.829667051843103,microW cm^-1 K^-2,0.0012829667051843104,W m^-1 K^-2,230,b0c269c0ee75b6b4ffdd6d20bb498231cfa4f6c0547f05b0de49944edd631a5a,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.001,0.001,p-type,7,573.02102503611252,573,9.72990176416846,microW cm^-1 K^-2,0.00097299017641684605,W m^-1 K^-2,231,78e23ed8d46822ea14a716d98e68d5ebfce5aeeb1c44a0e4fe0d3c92857b72c1,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.003,0.0030000000000000001,p-type,1,299.97450210897102,300,29.60868470737546,microW cm^-1 K^-2,0.0029608684707375459,W m^-1 K^-2,233,0f5d23d3de8e1e88dc0a6802934d8e7967690e064b75b6942e18a25d6c2906fc,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.003,0.0030000000000000001,p-type,2,322.99460940947131,323,27.751103986403564,microW cm^-1 K^-2,0.0027751103986403563,W m^-1 K^-2,234,478ebf3daa5ecd7a736afc538699fc3cd0befbfc956111face218b4f38ca798f,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.003,0.0030000000000000001,p-type,3,372.99532434190178,373,23.699666452186648,microW cm^-1 K^-2,0.0023699666452186648,W m^-1 K^-2,235,12a7daf7fc1be9704d3cc7d5dfb22220f4eb398a3876b244edc4aa4db6dceee2,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.003,0.0030000000000000001,p-type,4,422.99595733365231,423,19.833491053586158,microW cm^-1 K^-2,0.0019833491053586161,W m^-1 K^-2,236,2f0351f4a1b5951cfe2e98b2fd2915071de35d774bb93b66c1c24418c1cd9549,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.003,0.0030000000000000001,p-type,5,472.99663129574276,473,15.979246692310937,microW cm^-1 K^-2,0.0015979246692310939,W m^-1 K^-2,237,fcfa22ba359da71eb01eb01d0666d4238e039fde433f0bad5069f541c9751d32,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.003,0.0030000000000000001,p-type,6,522.99595323661663,523,12.612954494115229,microW cm^-1 K^-2,0.0012612954494115229,W m^-1 K^-2,238,81cc0cbf2b1be68bcffe51e93c581f2e461c1ac6a6d38998cb2195f53ab4e5aa,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.003,0.0030000000000000001,p-type,7,572.99660671353729,573,9.2693818990958903,microW cm^-1 K^-2,0.00092693818990958912,W m^-1 K^-2,239,c2d8711cd636c66c26d6b12fa5823ecd38a872197e2e5f66f8063a1e02b6a24e,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.005,0.0050000000000000001,n-type,1,299.97448162380101,300,37.854706258451529,microW cm^-1 K^-2,0.003785470625845153,W m^-1 K^-2,241,dc22139d77b6ee8226eda50b25e0603df381abb9057f2ddaf18d0f3397c48e51,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.005,0.0050000000000000001,n-type,2,322.99460940947131,323,35.730410378817851,microW cm^-1 K^-2,0.0035730410378817853,W m^-1 K^-2,242,13d50941dac42bbe316ceb15348e68ad82367fcc6a3b1758e7f94ac23124c830,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.005,0.0050000000000000001,n-type,3,372.99532434190178,373,31.121862209452274,microW cm^-1 K^-2,0.0031121862209452277,W m^-1 K^-2,243,aac8a92ea999617a694cbab95807e951165c6af1b69578d9bc74ac9229189eb1,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.005,0.0050000000000000001,n-type,4,422.99599830399211,423,27.023842997408337,microW cm^-1 K^-2,0.0027023842997408337,W m^-1 K^-2,244,a957d4df58b4b907fe354876c35babbe01e72746998d76b22d8ccc07e0ad4372,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.005,0.0050000000000000001,n-type,5,472.99663129574276,473,22.971782296932872,microW cm^-1 K^-2,0.0022971782296932874,W m^-1 K^-2,245,594ae06fa2e730bca88a95c39632ef7600b467ce5a9c743eda32948e092a6dd1,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.005,0.0050000000000000001,n-type,6,522.99595323661663,523,20.069619135057167,microW cm^-1 K^-2,0.0020069619135057166,W m^-1 K^-2,246,47351136caa253cd6d754c082e016de914d5492e486f4cc85f980fdf537ff29c,primary_article_figure_derived_source_object_candidate,false
E,power_factor,x=0.005,0.0050000000000000001,n-type,7,572.99668865421711,573,17.213998703117284,microW cm^-1 K^-2,0.0017213998703117285,W m^-1 K^-2,247,804dc6522dffbb1c8670be06d5c6665dfa2efe5fc2d84e2be94ba5b454073b7f,primary_article_figure_derived_source_object_candidate,false
